type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
4	4	'South Africa'	'South Africa'	270	12.18585971	4.400925926	0.281959293	1	1	0	0	2012
1	3	'Indonesia'	'India'	364	10.92616929	12.96611722	0.281499214	0	3	0	1	2012
4	2	'China'	'Japan'	1017	14.09815203	3.145321206	0.280956028	0	2	0	1	2012
7	4	'India'	'India'	936	8.422681853	4.808404558	0.280855569	1	3	0	1	2012
1	4	'Argentina'	'Singapore'	92	11.83072959	34.65806159	0.279154519	0	3	0	0	2012
4	6	'Egypt'	'Egypt'	274	10.31747157	3.193278589	0.279129194	1	4	1	0	2012
7	8	'Saudi Arabia'	'China'	65	12.10744562	22.06666667	0.277326563	0	2	1	1	2012
1	3	'Philippines'	'China'	645	9.949111135	8.136434109	0.277076084	0	4	0	1	2012
7	4	'Brazil'	'Brazil'	1139	9.224949006	3.609745391	0.27665845	1	3	0	0	2012
4	5	'Singapore'	'United Arab Emirates'	94	16.95922702	9.336879433	0.27650323	0	1	0	1	2012
4	5	'China'	'Canada'	83	16.37349294	11.56526104	0.274502014	0	2	1	1	2012
1	4	'Australia'	'Singapore'	201	12.0085402	14.04104478	0.273559762	0	4	0	0	2012
1	6	'China'	'Australia'	259	12.62163689	11.70093308	0.270330917	0	2	1	1	2012
4	5	'China'	'Singapore'	266	14.96848352	4.044172932	0.269339304	0	3	1	1	2012
7	8	'China'	'United Arab Emirates'	79	12.03719421	20.54061181	0.267564259	0	2	1	1	2012
4	6	'Egypt'	'United Kingdom'	89	17.34947239	8.505149813	0.266450443	0	3	1	0	2012
1	3	'India'	'Singapore'	445	10.98832572	8.484363296	0.264887948	0	2	1	0	2012
1	3	'Australia'	'Japan'	208	12.01291959	17.85456731	0.263848769	0	4	1	0	2012
4	6	'Egypt'	'Indonesia'	58	16.36348113	14.86350575	0.262767066	0	4	0	1	2012
1	5	'China'	'China'	1361	9.023658685	2.222814107	0.261557478	1	3	1	1	2012
4	4	'Australia'	'Singapore'	143	16.05311115	9.008449883	0.259216767	0	3	0	1	2012
4	5	'Malaysia'	'Brazil'	43	17.61694702	22.65503876	0.259001871	0	2	1	1	2012
7	4	'United States of America'	'United States of America'	1038	8.88463847	3.333172768	0.258516889	1	1	0	1	2012
4	5	'Saudi Arabia'	'Singapore'	81	17.17291032	11.01337449	0.258229554	0	4	0	0	2012
4	6	'Indonesia'	'Egypt'	50	17.22339121	13.82166667	0.256044963	0	2	0	0	2012
4	5	'Egypt'	'China'	47	15.8397388	23.97251773	0.253836503	0	1	1	0	2012
4	1	'China'	'China'	3757	11.55992322	1.568782717	0.2532257	1	4	0	0	2012
4	5	'Panama'	'Russia'	53	14.99228033	24.87971698	0.252435616	0	1	0	1	2012
4	5	'Panama'	'United States of America'	171	16.65040245	5.68494152	0.249625168	0	3	0	1	2012
4	4	'Spain'	'United States of America'	110	15.54277067	10.75568182	0.249366423	0	2	0	1	2012
4	4	'Taiwan'	'Panama'	40	18.64281043	19.50520833	0.248282736	0	4	0	1	2012
4	4	'United States of America'	'China'	102	16.53607809	13.91013072	0.243814074	0	2	1	0	2012
1	3	'Australia'	'Australia'	900	9.317282158	4.927685185	0.242845192	1	1	0	1	2012
4	4	'China'	'Mexico'	56	16.95876859	16.86755952	0.241246354	0	4	1	0	2012
4	5	'Saudi Arabia'	'United Arab Emirates'	122	16.41448614	5.93579235	0.240521349	0	3	0	1	2012
1	3	'China'	'Philippines'	570	11.60418322	7.118128655	0.239818864	0	3	1	1	2012
1	6	'Brazil'	'Japan'	34	12.09861793	46.13480392	0.237821609	0	4	1	0	2012
4	6	'Netherlands'	'Egypt'	82	16.36580336	9.082825203	0.236768613	0	4	0	1	2012
1	3	'United States of America'	'United States of America'	1816	8.713327213	2.670223018	0.236261577	1	2	1	1	2012
4	4	'China'	'Australia'	116	15.45033237	10.53843391	0.23483796	0	4	0	0	2012
4	4	'China'	'Singapore'	304	14.16550756	4.482867325	0.230562506	0	3	0	0	2012
7	4	'Indonesia'	'Indonesia'	981	7.727270468	4.049099558	0.228455513	1	1	0	0	2012
4	4	'Taiwan'	'Australia'	86	17.19953458	11.35368217	0.225559236	0	2	0	0	2012
4	4	'Chile'	'Mexico'	44	17.12420216	20.13162879	0.225258398	0	1	1	1	2012
4	5	'Spain'	'Egypt'	113	15.92017909	6.809365782	0.224120694	0	4	1	1	2012
4	5	'Egypt'	'Italy'	206	16.11405338	3.91039644	0.223515929	0	3	0	1	2012
4	2	'Japan'	'Japan'	1696	12.29169493	1.515428459	0.223150187	1	1	1	0	2012
4	2	'Brazil'	'Brazil'	1037	12.13716819	2.465043394	0.22263882	1	1	0	1	2012
1	6	'Japan'	'Australia'	193	11.8065281	14.31001727	0.221008625	0	2	1	1	2012
